C4_1Hz,C4_2Hz,C4_3Hz,C4_4Hz,C4_5Hz,C4_6Hz,C4_7Hz,C4_8Hz,C4_9Hz,C4_10Hz,C4_11Hz,C4_12Hz,C4_13Hz,C4_14Hz,C4_15Hz,C4_16Hz,C4_17Hz,C4_18Hz,C4_19Hz,C4_20Hz,C4_21Hz,C4_22Hz,C4_23Hz,C4_24Hz,C4_25Hz,C4_26Hz,C4_27Hz,C4_28Hz,C4_29Hz,C4_30Hz,A1_1Hz,A1_2Hz,A1_3Hz,A1_4Hz,A1_5Hz,A1_6Hz,A1_7Hz,A1_8Hz,A1_9Hz,A1_10Hz,A1_11Hz,A1_12Hz,A1_13Hz,A1_14Hz,A1_15Hz,A1_16Hz,A1_17Hz,A1_18Hz,A1_19Hz,A1_20Hz,A1_21Hz,A1_22Hz,A1_23Hz,A1_24Hz,A1_25Hz,A1_26Hz,A1_27Hz,A1_28Hz,A1_29Hz,A1_30Hz,Target
0.44146476,0.07402667,0.03203025,0.013755203,0.011542704,0.011583604,0.009991121,0.006776589,0.006329513,0.007557926,0.013886561,0.011948241,0.012342887,0.015743349,0.016871263,0.012348401,0.021689972,0.014725676,0.018467468,0.020864575,0.02252781,0.015371345,0.02263318,0.028368691,0.031472653,0.025335113,0.014835488,0.016622228,0.009395431,0.016697798,0.392514781,0.123827156,0.050128829,0.02774333,0.016003441,0.011966948,0.012257585,0.007429444,0.007880064,0.008544034,0.013795102,0.017311717,0.02932132,0.038204163,0.033817447,0.008888056,0.015490818,0.008856598,0.008770606,0.024795353,0.011493411,0.009975035,0.00651319,0.015773096,0.023542548,0.02270488,0.005623011,0.007434214,0.011534035,0.010746812,Brux
0.624406262,0.065900677,0.020864391,0.009263762,0.007924186,0.0074657,0.006470401,0.004813068,0.003583368,0.004595587,0.009171428,0.007666626,0.007586059,0.010859594,0.012201153,0.007941417,0.015011402,0.00934993,0.012472742,0.011530539,0.015065544,0.010004916,0.013477217,0.016469228,0.020609732,0.015522171,0.009408183,0.009757856,0.005496397,0.010748275,0.50030733,0.100654547,0.040047073,0.021582324,0.012613427,0.009710465,0.009755466,0.006012074,0.006604907,0.006841617,0.011127719,0.014165732,0.02390728,0.032819844,0.031030824,0.008037425,0.012736586,0.007421184,0.006425673,0.0198767,0.008854936,0.008519197,0.00524024,0.012551688,0.019471596,0.019097855,0.004327261,0.005900526,0.01021221,0.008420572,Brux
0.728847034,0.053135079,0.014739024,0.006653172,0.005881793,0.005392139,0.004552399,0.003350586,0.002591591,0.003212785,0.006422795,0.005539892,0.005386993,0.008273042,0.008811329,0.005635825,0.010858527,0.006920994,0.009049812,0.007369097,0.01069412,0.007000548,0.009199845,0.010315899,0.01453893,0.010395038,0.006894672,0.006848242,0.003885271,0.007618751,0.535277037,0.096625681,0.036238317,0.020120297,0.011300307,0.009277087,0.00905761,0.005615347,0.006180794,0.006267436,0.010341267,0.013034177,0.021759403,0.030891207,0.028733141,0.008337558,0.011902452,0.006663255,0.006095969,0.018060398,0.008105946,0.0079291,0.004963743,0.011201289,0.017856161,0.017348937,0.00399284,0.005365283,0.00924956,0.007799007,Brux
0.771735403,0.049033186,0.012495127,0.005403117,0.004740716,0.004766045,0.003653329,0.002764893,0.002134176,0.002658967,0.005218998,0.004796947,0.004438397,0.007036813,0.007403625,0.004739849,0.009239155,0.005911121,0.007615846,0.005668852,0.008915113,0.005658392,0.007141388,0.007940793,0.011756091,0.0079276,0.005757423,0.00577712,0.003147819,0.006367895,0.547704666,0.09288721,0.035701386,0.019690422,0.010563546,0.009475247,0.00870357,0.005544467,0.006111814,0.006225299,0.010241714,0.012690948,0.021159668,0.030297194,0.027816412,0.008851715,0.011612433,0.006549913,0.006070462,0.017342893,0.007717275,0.00783441,0.004864683,0.010644763,0.017317132,0.016651682,0.003855207,0.005274418,0.008907924,0.007632881,Brux
0.784098456,0.049169156,0.011922987,0.004978616,0.004441215,0.004495083,0.003328732,0.002702752,0.002038599,0.002518117,0.004841772,0.004659221,0.004138131,0.006845538,0.007176136,0.004374691,0.008955963,0.005497664,0.007116742,0.005244538,0.008066659,0.005242255,0.006329157,0.007065475,0.010528449,0.007181965,0.00530889,0.005224415,0.002950815,0.005870914,0.541353318,0.090058851,0.037623319,0.018965503,0.010199981,0.00988777,0.008416603,0.005520857,0.006330391,0.006520367,0.010585801,0.013304164,0.021995038,0.031551531,0.029047586,0.009244776,0.01179283,0.006783543,0.00615675,0.01786411,0.007503101,0.007901158,0.004929405,0.010848091,0.017975214,0.017221991,0.003953578,0.005346073,0.00915495,0.007303961,Brux
0.799249292,0.051043678,0.01092805,0.005707558,0.00400797,0.003890692,0.003255393,0.002619053,0.001987863,0.002140364,0.004206502,0.004207987,0.003698194,0.006572086,0.007182974,0.003832884,0.008186369,0.005043468,0.006064701,0.004619853,0.007298679,0.004695388,0.005684946,0.005386225,0.008772913,0.00655081,0.004838622,0.00384824,0.002822233,0.0046391,0.550273485,0.087217205,0.035849534,0.018477934,0.009105727,0.01007696,0.007603861,0.005179176,0.006596333,0.006818975,0.010148065,0.013804439,0.022143923,0.031635595,0.030105997,0.009467518,0.011838828,0.006795516,0.006171857,0.017847517,0.00694666,0.007075512,0.005105212,0.010897441,0.017581446,0.017630451,0.004069565,0.004930873,0.008654005,0.005029332,Brux
0.805375148,0.051901039,0.010646136,0.006492089,0.003796732,0.00357333,0.003454336,0.002730517,0.001846365,0.002010069,0.004156897,0.004263937,0.003695663,0.00653738,0.007019336,0.003526172,0.007888803,0.004803826,0.005463974,0.004489585,0.006939192,0.004507964,0.00567682,0.004525437,0.007920038,0.005996713,0.004514229,0.003179301,0.002506901,0.004210518,0.541409782,0.086456578,0.035974437,0.019658329,0.0094662,0.010715776,0.007663532,0.005345732,0.006483788,0.007377797,0.010791161,0.014520156,0.022833065,0.032887463,0.031015926,0.009906432,0.011897049,0.006911386,0.006652319,0.018411588,0.006995354,0.007332878,0.005440333,0.01111269,0.017960856,0.017832797,0.003832099,0.004784501,0.008501348,0.004998037,Brux
0.807423022,0.052076176,0.010673883,0.007976592,0.004100267,0.003668812,0.003687725,0.002872814,0.001845356,0.00205326,0.004274925,0.004895953,0.003690878,0.006709031,0.006765532,0.003490258,0.007534366,0.004480705,0.005256241,0.004417068,0.0068808,0.004563671,0.005505853,0.004371686,0.007305781,0.005401131,0.003398285,0.002488452,0.002265611,0.003955964,0.531870957,0.087260262,0.035413812,0.022099059,0.009604785,0.011224355,0.007651097,0.00558613,0.00655772,0.007714211,0.012138821,0.016841784,0.023267917,0.033526613,0.031234382,0.010243201,0.011995398,0.006980108,0.006789643,0.018652609,0.007297548,0.007385819,0.005635637,0.011364854,0.017990862,0.017705367,0.00358059,0.004406076,0.008265313,0.005004925,Brux
0.811614036,0.051013543,0.010520589,0.008333808,0.004120445,0.003631515,0.003721803,0.002932906,0.001862352,0.00199112,0.004266654,0.004931006,0.003529403,0.006532531,0.006605441,0.003432423,0.007235203,0.004398437,0.005007895,0.004260098,0.006675679,0.004460196,0.005374208,0.004238791,0.006941653,0.005087969,0.003243969,0.00228076,0.002206964,0.003858869,0.530039579,0.08558022,0.035290616,0.023365815,0.008973398,0.0111282,0.007774551,0.005782179,0.006649902,0.007778312,0.01299284,0.017228841,0.02347517,0.033842051,0.031171987,0.010670439,0.012156204,0.007108749,0.006912324,0.018520988,0.007345281,0.007384313,0.005710554,0.011483889,0.017944143,0.017645928,0.003602714,0.004301739,0.008272543,0.005050027,Brux
0.813640755,0.050063875,0.010707177,0.008425017,0.004194117,0.003641855,0.003784721,0.003025175,0.00186703,0.001952055,0.004276185,0.005007029,0.003496384,0.006509679,0.006796816,0.003426294,0.007062432,0.004283498,0.00481706,0.004114509,0.006520941,0.004381648,0.005304261,0.004169774,0.006720337,0.005090317,0.003167399,0.00214121,0.002144946,0.003771256,0.52282855,0.084424268,0.03544558,0.0235016,0.008828488,0.010944213,0.007746831,0.005928791,0.006702513,0.007815424,0.013889564,0.017513878,0.024656399,0.035036673,0.032026476,0.011018995,0.012438944,0.007312386,0.007061287,0.01899604,0.007367409,0.007415922,0.005848561,0.011821287,0.018684654,0.018175312,0.003612808,0.004321288,0.008448667,0.005089256,Brux
