C4_1Hz,C4_2Hz,C4_3Hz,C4_4Hz,C4_5Hz,C4_6Hz,C4_7Hz,C4_8Hz,C4_9Hz,C4_10Hz,C4_11Hz,C4_12Hz,C4_13Hz,C4_14Hz,C4_15Hz,C4_16Hz,C4_17Hz,C4_18Hz,C4_19Hz,C4_20Hz,C4_21Hz,C4_22Hz,C4_23Hz,C4_24Hz,C4_25Hz,C4_26Hz,C4_27Hz,C4_28Hz,C4_29Hz,C4_30Hz,A1_1Hz,A1_2Hz,A1_3Hz,A1_4Hz,A1_5Hz,A1_6Hz,A1_7Hz,A1_8Hz,A1_9Hz,A1_10Hz,A1_11Hz,A1_12Hz,A1_13Hz,A1_14Hz,A1_15Hz,A1_16Hz,A1_17Hz,A1_18Hz,A1_19Hz,A1_20Hz,A1_21Hz,A1_22Hz,A1_23Hz,A1_24Hz,A1_25Hz,A1_26Hz,A1_27Hz,A1_28Hz,A1_29Hz,A1_30Hz,Target
0.084689056,0.043232021,0.021908525,0.022211125,0.027369948,0.029983997,0.024479088,0.030767197,0.117632345,0.287510783,0.065380265,0.020108413,0.010924569,0.011394512,0.010465659,0.007112035,0.008182116,0.010291732,0.015260692,0.01179631,0.01088366,0.018390313,0.026286869,0.021480488,0.014223983,0.012447292,0.011800829,0.007901268,0.006685414,0.004543146,0.069301669,0.057170211,0.026194484,0.026217254,0.028295917,0.030776824,0.015828598,0.043287073,0.07394655,0.246625318,0.212265389,0.028408481,0.012894696,0.00999683,0.009935749,0.010047497,0.00997988,0.01230879,0.015534542,0.007879987,0.011984352,0.006275023,0.006195095,0.004494485,0.004250699,0.004260058,0.004771249,0.003864809,0.002555473,0.001982614,Narco
0.082245953,0.04077847,0.020592005,0.021445224,0.025182526,0.032576264,0.024156026,0.031976594,0.147720887,0.276323399,0.065796645,0.019070968,0.010238024,0.010496195,0.010053604,0.006649907,0.007442043,0.009545648,0.014989134,0.012004364,0.009294138,0.01535294,0.025605027,0.019997794,0.013101842,0.011884623,0.01190997,0.008019051,0.006294513,0.004703381,0.070229121,0.054521866,0.024458421,0.026480498,0.027614893,0.031416632,0.015791312,0.042829937,0.083813514,0.246216212,0.208453733,0.028504442,0.012554425,0.009845143,0.009636065,0.010054852,0.009747046,0.012844729,0.014875583,0.008229295,0.011267608,0.005611971,0.006201499,0.004448322,0.004315041,0.004157822,0.004968131,0.003979191,0.002446788,0.002027201,Narco
0.083685933,0.039048445,0.019355671,0.020786244,0.024508394,0.034776217,0.023890289,0.031106451,0.169855995,0.268748284,0.064552345,0.017997758,0.009822818,0.009893818,0.009355087,0.006142441,0.006879071,0.009247159,0.014658399,0.011814341,0.00834396,0.014585179,0.024442628,0.019134265,0.012517305,0.010982904,0.011301947,0.007634273,0.005902535,0.004673436,0.070622921,0.052939765,0.023056577,0.026159371,0.027463983,0.030726613,0.016224889,0.041994276,0.095780257,0.247930022,0.203511703,0.027771339,0.012135052,0.009581473,0.009106999,0.010093045,0.008897793,0.012650078,0.014571589,0.008357229,0.010472049,0.005606067,0.006002221,0.004358379,0.004396609,0.00410045,0.004862712,0.00390684,0.002320701,0.002009337,Narco
0.086174865,0.039453197,0.018800155,0.019887881,0.023841547,0.0367356,0.023339642,0.030703795,0.178925822,0.266355576,0.063789624,0.017279483,0.009680703,0.009706559,0.008697045,0.006038145,0.006930862,0.009360882,0.014530653,0.011497232,0.007974748,0.013678433,0.023203269,0.018589887,0.012070472,0.010453842,0.010763568,0.007127539,0.005637073,0.004593331,0.065389267,0.051162226,0.022340462,0.025462771,0.027398999,0.029709306,0.016294516,0.043278145,0.10105026,0.256302793,0.201590839,0.027987594,0.012052883,0.009549134,0.008289336,0.010049934,0.00839382,0.012413764,0.01409642,0.008303574,0.010326349,0.005392,0.005765915,0.004311151,0.004305843,0.003905606,0.00461988,0.003695632,0.002245987,0.002002231,Narco
0.086864762,0.039842671,0.019693334,0.019668533,0.022939454,0.03693905,0.023179627,0.032030252,0.180283124,0.268228335,0.064022281,0.016336949,0.009446511,0.009699018,0.008024185,0.006261878,0.007033949,0.009568985,0.014479333,0.011339421,0.007802235,0.012846982,0.021656142,0.017746631,0.011585367,0.010173388,0.010973526,0.00692132,0.005614166,0.004642774,0.061765692,0.050108182,0.022510033,0.025251074,0.027063266,0.029079873,0.015784914,0.044737272,0.103510969,0.260798115,0.202583655,0.027983337,0.011935792,0.009852497,0.007469224,0.009811916,0.007878443,0.012354226,0.013766695,0.008266233,0.010297244,0.005191287,0.005407911,0.004147161,0.004186516,0.0037642,0.004473432,0.003502175,0.002197948,0.002045463,Narco
0.087025256,0.039162087,0.020396546,0.019545531,0.021974601,0.036659874,0.022856752,0.033480927,0.180689261,0.271776422,0.063999995,0.015703528,0.009042005,0.009475358,0.008034549,0.006270936,0.006894501,0.009880001,0.014584241,0.011099532,0.007718735,0.012436629,0.020152621,0.016806216,0.011071923,0.010054712,0.011276918,0.007285157,0.005663092,0.004743581,0.062030732,0.049591784,0.022040327,0.025520808,0.026408568,0.028537508,0.01516604,0.045420315,0.103608509,0.261390259,0.205809149,0.027704539,0.011720467,0.009658821,0.007293068,0.00920695,0.007614714,0.012421201,0.013674144,0.008226609,0.010491049,0.005211328,0.005014217,0.003908764,0.004123727,0.003775093,0.00440796,0.003556119,0.002087813,0.002074474,Narco
0.087305676,0.038690741,0.02029514,0.018702275,0.023043617,0.037169284,0.022784181,0.033388082,0.185328631,0.271266424,0.064438403,0.01464872,0.00895919,0.009134324,0.007741995,0.005967686,0.006788911,0.010148221,0.014485868,0.010851387,0.007753391,0.012454676,0.01857844,0.015650444,0.010663791,0.010019145,0.011512428,0.007466032,0.005652723,0.004826603,0.063272067,0.049648184,0.021452119,0.025793749,0.026139458,0.02837457,0.015059329,0.045360266,0.105096552,0.260440122,0.205701416,0.027688513,0.011475724,0.009429489,0.007460049,0.008945926,0.007135604,0.012416399,0.01394861,0.008356098,0.010563723,0.005412435,0.004680043,0.00358484,0.004147358,0.003847421,0.004477408,0.003671702,0.001995499,0.002117416,Narco
0.090285838,0.038579361,0.019288353,0.018201685,0.023332182,0.037962654,0.022244121,0.032361045,0.187568769,0.27338166,0.064149069,0.01331811,0.009080025,0.008875199,0.00748968,0.005342513,0.006569095,0.010069147,0.015283817,0.010438387,0.007419183,0.01168416,0.016966039,0.015537513,0.011130081,0.010008302,0.011323781,0.007326802,0.005673218,0.004779763,0.066654378,0.050719553,0.020841259,0.024811549,0.025532446,0.028250794,0.014973307,0.044632249,0.106115624,0.263585915,0.201227703,0.028013968,0.011310083,0.009014189,0.007437565,0.008881766,0.006714793,0.012139475,0.014470787,0.008556093,0.010394523,0.005468961,0.004272823,0.003536513,0.004090461,0.003814902,0.004490148,0.003623537,0.002009927,0.002117018,Narco
0.092635842,0.038145825,0.017913386,0.017469725,0.023379367,0.037819184,0.022980551,0.032026303,0.185978876,0.280767226,0.06366538,0.012405221,0.008789481,0.00856619,0.00733684,0.005085506,0.006339259,0.009972649,0.015711679,0.010793868,0.007072866,0.010916514,0.014415369,0.014825057,0.011508625,0.010250757,0.011200492,0.007221645,0.005709596,0.004674061,0.070032559,0.049790382,0.020084474,0.023339658,0.024611795,0.027758535,0.014876245,0.04343633,0.104436735,0.270366014,0.201080257,0.028267541,0.010893784,0.008785521,0.007233193,0.008845041,0.006409918,0.011772933,0.01490467,0.008613457,0.010101634,0.005404681,0.003725437,0.003472855,0.003870542,0.003682642,0.004374672,0.003411624,0.002062337,0.00203908,Narco
0.094999382,0.035254321,0.017649897,0.017108392,0.023088227,0.036746238,0.023419859,0.033482488,0.185872208,0.285320713,0.063485234,0.011241419,0.00839312,0.008175342,0.007336981,0.005195315,0.006339239,0.009648014,0.016079884,0.010964983,0.007228727,0.010026258,0.012587888,0.014968118,0.011850554,0.010117454,0.011425398,0.007224177,0.005741271,0.004526914,0.072175793,0.045863763,0.020444052,0.021679068,0.023629562,0.026728368,0.014599589,0.042126498,0.102014065,0.275451592,0.209655092,0.026405417,0.010285279,0.008406544,0.007043008,0.008781976,0.00625801,0.011526924,0.015053949,0.008506792,0.009902731,0.005123119,0.003506943,0.003520171,0.003835633,0.003582699,0.004366065,0.003196059,0.002028046,0.001936121,Narco
