C4_1Hz,C4_2Hz,C4_3Hz,C4_4Hz,C4_5Hz,C4_6Hz,C4_7Hz,C4_8Hz,C4_9Hz,C4_10Hz,C4_11Hz,C4_12Hz,C4_13Hz,C4_14Hz,C4_15Hz,C4_16Hz,C4_17Hz,C4_18Hz,C4_19Hz,C4_20Hz,C4_21Hz,C4_22Hz,C4_23Hz,C4_24Hz,C4_25Hz,C4_26Hz,C4_27Hz,C4_28Hz,C4_29Hz,C4_30Hz,A1_1Hz,A1_2Hz,A1_3Hz,A1_4Hz,A1_5Hz,A1_6Hz,A1_7Hz,A1_8Hz,A1_9Hz,A1_10Hz,A1_11Hz,A1_12Hz,A1_13Hz,A1_14Hz,A1_15Hz,A1_16Hz,A1_17Hz,A1_18Hz,A1_19Hz,A1_20Hz,A1_21Hz,A1_22Hz,A1_23Hz,A1_24Hz,A1_25Hz,A1_26Hz,A1_27Hz,A1_28Hz,A1_29Hz,A1_30Hz,Target
0.245412275,0.14591851,0.055196219,0.051110429,0.037124428,0.032638898,0.024845494,0.017988799,0.01706831,0.019784478,0.025573018,0.031467059,0.022118185,0.026194158,0.01579274,0.013074227,0.017845531,0.021325866,0.012437079,0.013012271,0.014622694,0.02254394,0.015869983,0.016081969,0.018523876,0.009984488,0.009738625,0.009599395,0.008540471,0.009768471,0.115642243,0.062197285,0.022323024,0.021470557,0.011384312,0.016278369,0.011776518,0.012621776,0.013404204,0.034684691,0.044165161,0.054718827,0.053457833,0.051847764,0.029076972,0.020338812,0.025554102,0.045649313,0.024420744,0.025121781,0.022259709,0.033923999,0.028458572,0.042601058,0.034642961,0.030413133,0.021254532,0.014284575,0.021686975,0.01738245,Sdb
0.241944091,0.143197557,0.054398012,0.04994948,0.036945106,0.032108537,0.02456762,0.017639741,0.017464221,0.020355519,0.025479304,0.031508071,0.023918577,0.026885464,0.01697687,0.013703021,0.017946656,0.021534744,0.012500875,0.013087024,0.014757077,0.022051577,0.017492427,0.016975601,0.018728837,0.010010096,0.010051351,0.010086506,0.008946241,0.00983925,0.109852782,0.059233804,0.021084046,0.020457615,0.010982898,0.015691183,0.011416379,0.012457712,0.013759123,0.034264515,0.04530613,0.054513223,0.055888583,0.051542642,0.031572653,0.021531604,0.027363727,0.04481034,0.023810377,0.025025934,0.023250204,0.032633126,0.031706322,0.044031641,0.034359463,0.030399697,0.022061171,0.015483005,0.021474567,0.017226399,Sdb
0.244171589,0.122104542,0.051455905,0.046878092,0.033794707,0.029262075,0.023450368,0.017862895,0.018830865,0.02082472,0.026743561,0.032660385,0.027594113,0.029147409,0.019702828,0.014471823,0.019512316,0.022170035,0.013292476,0.013923581,0.015649683,0.0225942,0.019082949,0.019032361,0.020097815,0.010961045,0.011839529,0.010708313,0.01000307,0.010529863,0.097738093,0.051632017,0.019311257,0.01886988,0.009822735,0.014305182,0.010251866,0.013326427,0.016526711,0.033799302,0.048301552,0.055702157,0.05783879,0.052499553,0.035719989,0.02235838,0.027453896,0.044200006,0.022960539,0.024858321,0.023302515,0.032615815,0.033577885,0.046486278,0.034976945,0.030380831,0.024325515,0.016068774,0.0225154,0.017874601,Sdb
0.239840309,0.121298957,0.050735638,0.04602692,0.032369924,0.028822551,0.023099954,0.017690697,0.018918501,0.021014051,0.027004952,0.032401959,0.027757205,0.029461488,0.019841792,0.014733145,0.020048516,0.022539559,0.013285604,0.014099761,0.015772415,0.024046746,0.019618085,0.019557197,0.021026228,0.01148318,0.012107593,0.0113203,0.010516403,0.011354746,0.097462798,0.051043609,0.019729162,0.018220842,0.009685673,0.014182874,0.009932874,0.013222805,0.016586961,0.033368182,0.049139195,0.055296191,0.056572458,0.051974188,0.035763651,0.022319368,0.027515985,0.043809028,0.022055916,0.024920086,0.022591518,0.033836458,0.034139833,0.045752511,0.036029673,0.030645746,0.024387712,0.016779312,0.022882833,0.018793414,Sdb
0.180122328,0.089223661,0.051539639,0.031704075,0.032070447,0.02676369,0.018736717,0.019888678,0.021855703,0.025969742,0.032732602,0.032708863,0.035698588,0.035632449,0.027596894,0.020415875,0.025794752,0.028540031,0.016038583,0.016935487,0.021111259,0.032219693,0.023048816,0.025766695,0.026250136,0.013944366,0.015989829,0.015013119,0.013370482,0.015326047,0.083489389,0.044316117,0.018229193,0.013824298,0.009357329,0.012416367,0.008709965,0.012905396,0.0172017,0.033939691,0.055263346,0.051933246,0.062790093,0.051837928,0.043565915,0.023816126,0.029773363,0.040226792,0.018787047,0.023534507,0.025531904,0.038781563,0.032543994,0.042396282,0.036936384,0.031710883,0.028946538,0.01945859,0.022872642,0.022254672,Sdb
0.14490172,0.073205486,0.05154302,0.026782587,0.025098713,0.020753175,0.018011304,0.021547407,0.021256593,0.02971413,0.040545326,0.035120434,0.038286682,0.039937007,0.031364296,0.022043232,0.029898287,0.035990654,0.01826886,0.019436507,0.023967791,0.033403424,0.025558846,0.02722793,0.028288398,0.016758572,0.018026672,0.017383957,0.015834924,0.018385407,0.085385592,0.042619911,0.018041822,0.012955351,0.00948665,0.011086702,0.009283867,0.012978138,0.018635527,0.033664607,0.061544388,0.050681116,0.057454639,0.051869021,0.043924599,0.022715893,0.030300163,0.040203091,0.019111799,0.022487353,0.026453023,0.038178041,0.032580362,0.041588965,0.036975195,0.03189574,0.028856264,0.02015523,0.023090847,0.022995127,Sdb
0.087851358,0.065374632,0.066201671,0.03166454,0.022563324,0.018889856,0.017884495,0.022556201,0.023395139,0.032024906,0.050322058,0.037450921,0.04593315,0.042854135,0.035772396,0.026115478,0.027075208,0.038243888,0.021388672,0.022088343,0.029143677,0.029640164,0.025964704,0.031074184,0.026827514,0.018645812,0.019183463,0.017928666,0.017629713,0.018220301,0.047046443,0.022197159,0.012990804,0.008991952,0.007486731,0.007536018,0.009106377,0.012299483,0.021248567,0.034624898,0.07548746,0.06015569,0.066299366,0.056200795,0.052888197,0.025911537,0.030777866,0.039903119,0.02151932,0.023303894,0.0315736,0.038076529,0.036175423,0.047221981,0.037311093,0.034402936,0.031167976,0.021905242,0.020813817,0.024198273,Sdb
0.096532495,0.098126751,0.082477171,0.03460228,0.02349324,0.018679185,0.018002285,0.020392046,0.021094505,0.02794364,0.04573574,0.032272621,0.038894915,0.040278139,0.031178618,0.025722076,0.030063418,0.034882244,0.020247353,0.021455408,0.025605236,0.022337116,0.027282166,0.028299813,0.021888392,0.019684837,0.016757336,0.015888266,0.015240023,0.016733438,0.011912483,0.012633647,0.012921902,0.007765149,0.007473198,0.007321192,0.009298092,0.01307482,0.023246405,0.037503421,0.084505274,0.061711119,0.070802072,0.061856783,0.057802004,0.028309751,0.034085421,0.039000644,0.023733107,0.024498567,0.034254367,0.037101464,0.038095381,0.04960085,0.035918139,0.035764173,0.033635951,0.022821364,0.018691666,0.024419993,Sdb
0.128351161,0.124480924,0.066738293,0.041698686,0.021858208,0.019337936,0.017188767,0.015097717,0.020599945,0.023157786,0.035573631,0.025185212,0.028020687,0.027894198,0.024653578,0.021928145,0.038213447,0.035568662,0.015267293,0.03424321,0.020712534,0.01578608,0.028194497,0.0358117,0.022442266,0.015776496,0.013426626,0.012452482,0.015209943,0.013050849,0.018973428,0.012964633,0.014598685,0.008866934,0.009155993,0.0086983,0.01028481,0.012997571,0.023092958,0.037356144,0.080845878,0.059711338,0.071488344,0.059799991,0.057112639,0.028378913,0.035540172,0.036986511,0.021867448,0.022344068,0.035968841,0.036847197,0.040352497,0.04847718,0.036118813,0.032498722,0.034189626,0.023647473,0.019077025,0.023001952,Sdb
0.138906843,0.133791709,0.073092152,0.050319953,0.022728564,0.019701091,0.017860659,0.013670677,0.021233578,0.022704677,0.031827021,0.021345297,0.024494219,0.022448825,0.0223017,0.019900538,0.036215693,0.034399877,0.013150602,0.033171544,0.021098751,0.014246193,0.027528522,0.034455337,0.022577601,0.013666592,0.012903606,0.011037238,0.015750129,0.011223165,0.021863982,0.015310468,0.017000056,0.010926339,0.010883786,0.010124114,0.012971301,0.013692577,0.025802263,0.039679268,0.079419866,0.05240794,0.068070443,0.046880475,0.057732675,0.030131169,0.035119172,0.037812775,0.019104415,0.02129827,0.037003602,0.037642064,0.042949109,0.047699671,0.037338859,0.029511721,0.036057365,0.02347074,0.019247691,0.023662474,Sdb
